YSO-URI	NorthSámi	Finnish	Swedish	English	
http://www.yso.fi/onto/yso/p5028	áibmodássi	ilmanlaatu	luftkvalitet	air quality	
http://www.yso.fi/onto/yso/p2941	áibmodeatta	ilmanpaine	lufttryck	atmospheric pressure	
http://www.yso.fi/onto/yso/p3946	áibmofámut	ilmavoimat	flygvapnet	air forces	
http://www.yso.fi/onto/yso/p24221	áibmofierpmádagat	langattomat verkot	trådlösa nät	wireless networks	
http://www.yso.fi/onto/yso/p1054	áibmofievrrut	ilmakulkuneuvot	luftfarkoster	aircrafts	
http://www.yso.fi/onto/yso/p14443	áibmofiltarat	ilmansuodattimet	luftfilter	air filters	
http://www.yso.fi/onto/yso/p5393	áibmogeardi	ilmakehä	atmosfären (jorden)	atmosphere (earth)	
http://www.yso.fi/onto/yso/p26837	áibmogivvirat	ilmakiväärit	luftgevär	air rifles	
http://www.yso.fi/onto/yso/p2524	áibmogovat	ilmakuvat	flygbilder	aerial photographs	
http://www.yso.fi/onto/yso/p2523	áibmogovven	ilmakuvaus	flygfotografering och -filmning	aerial photography	
http://www.yso.fi/onto/yso/p3279	áibmojohtalus	ilmailu	luftfart	aviation	
http://www.yso.fi/onto/yso/p19609	áibmojohtolatláhka	ilmailulaki	luftfartslag	Aviation Act	
http://www.yso.fi/onto/yso/p13281	áibmojohtolatvuoigatvuohta	ilmailuoikeus	luftfartsrätt	aviation law	
http://www.yso.fi/onto/yso/p5335	áibmoláktadeaddjit	ilmankostuttimet	luftfuktare	humidifiers	
http://www.yso.fi/onto/yso/p5431	áibmomolsun	ilmanvaihto	ventilation	ventilation	
http://www.yso.fi/onto/yso/p11380	áibmomolsunrusttegat	ilmanvaihtolaitteet	ventilationsapparater	ventilation equipment	
http://www.yso.fi/onto/yso/p14791	áibmosoahti	ilmasota	luftkrig	air warfare	
http://www.yso.fi/onto/yso/p15161	áibmosuodjaleapmi	ilmansuojelu	luftvård	air protection	
http://www.yso.fi/onto/yso/p11031	áibmosuodjalus	ilmapuolustus	luftförsvar	air defence	
http://www.yso.fi/onto/yso/p13794	áibmu	ilma	luft	air	
http://www.yso.fi/onto/yso/p8802	áiccadeapmi	havainnointi	observerande	observation	
http://www.yso.fi/onto/yso/p13091	áiccalmahttin	havainnollistaminen	åskådliggörande	illustration (concretising)	
http://www.yso.fi/onto/yso/p3020	áiccanat	aistimet	sinnesorgan	sense organs	
http://www.yso.fi/onto/yso/p1938	áiccut	aistit	sinnen	senses	
http://www.yso.fi/onto/yso/p4422	áiddit	aidat	staket	fences	
http://www.yso.fi/onto/yso/p22899	aiddolašvuohta	täsmällisyys	punktlighet	punctuality	
http://www.yso.fi/onto/yso/p933	áideviehkan	aitajuoksu	häcklöpning	hurdling	
http://www.yso.fi/onto/yso/p29006	áideviehkkit	aitajuoksijat	hinderlöpare	hurdlers	
http://www.yso.fi/onto/yso/p2356	áidna mánná	ainoa lapsi	enda barnet	only child	
http://www.yso.fi/onto/yso/p12005	AIDS	AIDS	aids	Aids	
http://www.yso.fi/onto/yso/p12588	áigáiboahtindoarjja	toimeentulotuki	utkomststöd	income support	
http://www.yso.fi/onto/yso/p3091	áigáiboahtindorvu	toimeentuloturva	utkomstskydd	income security	
http://www.yso.fi/onto/yso/p12764	áigáiboahtu	toimeentulo	utkomst	subsistence	
http://www.yso.fi/onto/yso/p17322	áigeavádagat	aikavyöhykkeet	tidszoner	time zones	
http://www.yso.fi/onto/yso/p4623	áigebajit	aikakaudet	tidsperioder	ages (periods of time)	
http://www.yso.fi/onto/yso/p13554	áigebálká	aikapalkka	tidlön	time rate (wages)	
http://www.yso.fi/onto/yso/p38819	áigebáŋkkut	aikapankit	tidsbanker	timebanks	
http://www.yso.fi/onto/yso/p2752	áigedávvalat	aikataulut	tidtabeller	timetables	
http://www.yso.fi/onto/yso/p9115	áigedutkamuš	aikatutkimus	tidsstudier	time study	
http://www.yso.fi/onto/yso/p5263	áigeerohusat	aikaerot	tidsskillnader	time differences	
http://www.yso.fi/onto/yso/p3367	áigegeavaheapmi	ajankäyttö	tidsanvändning	time use	
http://www.yso.fi/onto/yso/p6489	áigehámit	aikamuodot	tempus	tenses	
http://www.yso.fi/onto/yso/p10822	áigelohku	ajanlasku	tideräkning	calendar	
http://www.yso.fi/onto/yso/p365	áigemátkkit	aikamatkat	tidsresor	time travel	
http://www.yso.fi/onto/yso/p10898	áigemearri	määräaika	utsatt tid	time limit	
http://www.yso.fi/onto/yso/p21640	áigepolitihkka	aikapolitiikka	tidspolitik	time policy	
http://www.yso.fi/onto/yso/p29003	áigerákten	aikarahtaus	tidsbefraktning	time charter	
http://www.yso.fi/onto/yso/p5	áiggeájanas	viihde	underhållning	entertainment	
http://www.yso.fi/onto/yso/p2901	áiggeájanasat	harrastukset	hobbyer	hobbies	
http://www.yso.fi/onto/yso/p27521	áiggi vuoigŋa	ajan henki	tidsanda	zeitgeist	
http://www.yso.fi/onto/yso/p8443	áiggivárren	ajanvaraus	tidsbeställning	making an appointment	
http://www.yso.fi/onto/yso/p21034	áigi	aika	tid	time	
http://www.yso.fi/onto/yso/p4035	áigodagat	ajanjaksot	tidsavsnitt	periods of time	
http://www.yso.fi/onto/yso/p15947	áigodahttin	jaksotus	periodisering	sectioning	
http://www.yso.fi/onto/yso/p17192	áigodatbargu	kausityö	säsongsarbete	seasonal work	
http://www.yso.fi/onto/yso/p6149	áigodatnuppástuhttin	suhdannevaihtelut	konjunkturväxlingar	economic fluctuation	
http://www.yso.fi/onto/yso/p9418	áika	metsätammi	skogsek	oak	
http://www.yso.fi/onto/yso/p10404	aikido	aikido	aikido	aikido	
http://www.yso.fi/onto/yso/p38466	aimaragiella	aimaran kieli	aymara (språk)	Aymara language	
http://www.yso.fi/onto/yso/p5030	áimmu nuoskun	ilman saastuminen	luftförorening	air pollution	
http://www.yso.fi/onto/yso/p6628	áimmudeapmi	ilmastointi	luftkonditionering	air conditioning	
http://www.yso.fi/onto/yso/p37906	ainugiella	ainun kieli	ainu (språk)	Ainu language	
http://www.yso.fi/onto/yso/p10730	ainut	ainut	ainu (folk)	Ainu	
http://www.yso.fi/onto/yso/p9656	áirrut	airot	åror	oars	
http://www.yso.fi/onto/yso/p21238	airsoft	airsoft	airsoft	airsoft	
http://www.yso.fi/onto/yso/p21206	áitagat	uhat	hot	threats	
http://www.yso.fi/onto/yso/p4718	áitatvuloš eallit	uhanalaiset eläimet	utrotningshotade djur	endangered animals	
http://www.yso.fi/onto/yso/p555	áitatvuloš gielat	uhanalaiset kielet	hotade språk	endangered languages	
http://www.yso.fi/onto/yso/p11644	áitatvuloš guobbarat	uhanalaiset sienet	utrotningshotade svampar	endangered fungi	
http://www.yso.fi/onto/yso/p1107	áitatvuloš šattut	uhanalaiset kasvit	utrotningshotade växter	endangered plants	
http://www.yso.fi/onto/yso/p11643	áitatvuloš šlájat	uhanalaiset lajit	utrotningshotade arter	endangered species	
http://www.yso.fi/onto/yso/p10844	áittagovat	uhkakuvat	hotbilder	threat perceptions	
http://www.yso.fi/onto/yso/p5572	áittaspealut	uhkapelit	hasardspel	games of chance	
http://www.yso.fi/onto/yso/p11033	áittit	aitat	bodar	granaries	
http://www.yso.fi/onto/yso/p3	ájánasgirjjálašvuohta	viihdekirjallisuus	underhållningslitteratur	light reading	
http://www.yso.fi/onto/yso/p8434	ájanasmusihkka	viihdemusiikki	underhållningsmusik	light music	
http://www.yso.fi/onto/yso/p23463	Ajax-programmeren	Ajax-ohjelmointi	Ajax-programmering	Ajax programming	
http://www.yso.fi/onto/yso/p10701	akademalaš bargofápmu	akateeminen työvoima	akademisk arbetskraft	university-educated labour	
http://www.yso.fi/onto/yso/p38650	akademalaš friddjavuohta	akateeminen vapaus	akademisk frihet	academic freedom	
http://www.yso.fi/onto/yso/p14994	akademihkkárat	akateemikot	akademiker	academicians	
http://www.yso.fi/onto/yso/p20210	akademiijat	akatemiat	akademier	academies	
http://www.yso.fi/onto/yso/p22986	akita	akita	akita	Akita	
http://www.yso.fi/onto/yso/p19190	ákkat	väittämät	påståenden	statements (claims)	
http://www.yso.fi/onto/yso/p7905	akkulturašuvdna	akkulturaatio	ackulturation	acculturation	
http://www.yso.fi/onto/yso/p2306	akkumuláhtorat	akut	ackumulatorer	accumulators	
http://www.yso.fi/onto/yso/p14689	akkusatiiva	akkusatiivi	ackusativ	accusative case	
http://www.yso.fi/onto/yso/p10224	A-klinihkat	A-klinikat	A-kliniker	A-clinics	
http://www.yso.fi/onto/yso/p25801	akmeisma	akmeismi	akmeism	Acmeism	
http://www.yso.fi/onto/yso/p27105	akne	akne	akne	acne	
http://www.yso.fi/onto/yso/p8057	akrobáhtat	akrobaatit	akrobater	acrobats	
http://www.yso.fi/onto/yso/p1277	akrobatiija	akrobatia	akrobatik	acrobatics	
http://www.yso.fi/onto/yso/p4983	akryla	akryyli	akryl	acryl	
http://www.yso.fi/onto/yso/p26811	akseanta	aksentti	accent	accent (linguistics)	
http://www.yso.fi/onto/yso/p23608	akselerašuvdna	kiihtyvyys	acceleration	acceleration	
http://www.yso.fi/onto/yso/p16755	áksilat	akselit	axlar (maskinkomponenter)	shafts (machine components)	
http://www.yso.fi/onto/yso/p38533	aksonat	aksonit	axoner	axons	
http://www.yso.fi/onto/yso/p11720	ákšut	kirveet	yxor	axes	
http://www.yso.fi/onto/yso/p38376	aktigrafiija	aktigrafia	aktigrafi	actigraphy	
http://www.yso.fi/onto/yso/p20212	aktiiva	aktiivi	aktiv	active voice	
http://www.yso.fi/onto/yso/p38812	aktiivamálle	aktiivimalli	aktiveringsmodell	activation model in employment policy	
http://www.yso.fi/onto/yso/p15704	aktiivavuohta	aktiivisuus	aktivitet	activity (properties)	
http://www.yso.fi/onto/yso/p17894	aktiveren	aktivointi	aktivering	activation	
http://www.yso.fi/onto/yso/p21733	aktivisma	aktivismi	aktivism	activism	
http://www.yso.fi/onto/yso/p13939	aktivisttat	aktivistit	aktivister	activists	
http://www.yso.fi/onto/yso/p19343	aktoealihat	erakot	eremiter	hermits	
http://www.yso.fi/onto/yso/p18948	aktuárat	aktuaarit	aktuarier	actuaries	
http://www.yso.fi/onto/yso/p11899	AKU	AKU	AKU	AKU	
http://www.yso.fi/onto/yso/p9502	akupunktuvra	akupunktio	akupunktur	acupuncture	
http://www.yso.fi/onto/yso/p2909	akustihkka	akustiikka	akustik	acoustics (phonics)	
http://www.yso.fi/onto/yso/p29030	akusttalaš analysa	akustinen analyysi	akustisk analys	acoustic analysis	
