bakteeriviljely	bakteragilvin							
barbituraatti	barbituráhta			barbiturasivrrot				
basilli	basilla			soabbebaktera				bacillus
beetasalpaaja	betabisseheaddji							
bilateraalinen	bilaterála			guovttesiiddot, guovttegilggat				bilateralis
biseksuaalinen	biseksuála			guovttesohkabealát				bisexualis
borrelioosi	borreliosa							
bronkiitti	bronkihta	bronkitt		geahpesbohccevuolši				bronchitis
Cowperin rauhanen	Cowper-ráksa			bulbouretrálaráksá				
CP-vamma	CP-váddu		Cerebral Palsy	CP-vuoiŋŋašváddu				
degerenaatio	degenerašuvdna			goarráneapmi				degeneratio
demenssi	demeansa							dementia
depressiivinen	depressiiva			lossamielat, nuonddahallan				
desinfiointiliuos	desinfierenluvus							
destruktiivinen	destruktiivvalaš			duššaleaddji				
diabeetikko	diabetihkkár			sohkardávdabuohcci				
diabetes	diabetes			sohkardávada				
diagnoosi	diagnosa			dávddameroštallan				diagnosis
difteria	difteriija 			čottavuolši				diphteria
Downin syndrooma	Down-syndroma			mongoloidisma				
dysfasia	dysfasiija			čállin-, hupman- ja lohkanhehttehus				dysphagia
ehkäisy	eastadeapmi	prevensjon		prevanšuvdna				
ehkäisylaastari	eastadanplástter							
ehkäisyrengas	eastadanriekkis							
ejakulaatio	ejakulašuvdna			siepmančollen				ejaculum
EKG	EKG			elektrokardiografiija				
elatusapu	ealihanveahkki							
elatusmaksu	ealihanmáksu							
elatustuki	ealihandoarjja							
elatusvelvollisuus	ealihangeatnegasvuohta							
elatusvelvollisuusvähennŧs	ealihangeatnegasvuođageahpádus							
elimillinen	orgánalaš			eallatlaš				
elimistö	organisma			eallagat				
elimistö, elin	organisma							
elin	orgána			eala,-ll-:g				
elinikäinen	eallinage-			eallinagálaš				
elinolot, -olosuhteet	eallindilli							
elintapa	eallindáhpi			eallinvuohki				
elintarvike	biebmogálvu			borramušgálvu				
elintarvikevalvonta	borramušgálvobearráigehčču							
elinympäristö	eallinbiras							
eliö	ealán							
elohopeaparisto	eallisilbabahtter							
eltaantua	hávrut							
elvyttäjä	jiellu							
elvytys, elvyttäminen	jiellun			ealáskahttin				
eläinlääkintä- ja elintarviketutkimuslaitos (EELA) 	šibitdálkkodan- ja borramušgálvodutkanlágádus 			elliiddálkkodan- ja biebmogálvodutkanlágádus				
eläinrasva	elliidvuodja			ealliidvuodja, alas				
eläke	ealáhat			penšuvdna, panšuvdna				
eläkeläinen	ealáhatolmmoš			penšunista, panšunista				
eläketurva	ealáhatdorvu							
eläkevakuutusmaksu	ealáhatoadjomáksu							
eläkkeensaaja	ealáhatoažžu							
elämänhallinta	eallinhálddašeapmi							
empaattinen	empáhtalaš			mieldeealli				
emäksinen	básalaš	basisk		eamalaš				
emätin	cinná			cinni, gudnju, vagina				 vagina, cunnus
emätinpuikko	vagitoriija	vagitorie		vaginasággi				vagitorium
ennalta ehkäiseva	(ovdal)eastadeaddji			ovdaeastadeaddji				
ennenaikainen	ovdaláigge							
ensi näkemältä	álgočalbmái							
ensiapu	vuosttašveahkki			vuosttasveahkki				
ensiasunto	vuosttasvisti			vuosttašviessu				
ensihoito	álgodikšu							
enterorokko	enteroboahkku							
entsyymi	entsyma			seallaid vielgadas, mii jođálmahttá avnnasmolsašuvvama				
epäkäslihas	čoamohasdeahkki							musculus trapezius
epäluuloinen	vávjálas			balahahkes, gáddálas				
epäoikeudenmukainen	vuoigatmeahttun			eahpevuoiggalaš				
epäonninen	bártái			oaseheapme				
epäpuhdas	nuoski	urenslig		duolvvas				
epäpätevä	dohkketmeahttun			eahpedohkálaš, eahpegelbbolaš				
epäsopu	soahpameahttunvuohta							
erektio	erekšuvdna			cihpa garran				
eriarvoisuus	sierraárvosašvuohta							
erikoisruokavalio	erenomášborramuš			sierranasborramuš				
erikoissairaanhoito	spesiálabuohccedikšu			earáliiggášbuohccedikšun				
eristäytyä	eaidanit			eaidat				
eristää (esim. osastot toisistaan)	sirret							
eristää (esim. suojata haava)	guđjet			suddjet				
erite	vuoža,-hč-:g	sekresjon, sekret, utsondring		vuožus,-uhčo-				
erittyä	vuohčut							
erittää	vuohčudit							
erityishuoltopiiri	spesiálafuolahusbire							
